90,Kevin Huerter,SAC,24,46,25,21,30.9,120.3,114.9,5.4,13.3,2.07,18.0,2.1,9.5,5.8,8.7,59.9,61.4,19.0,100.65,8.6,2993
90,Luka Doncic,DAL,23,46,27,19,36.8,118.5,115.2,3.3,42.8,2.29,21.3,2.6,22.6,12.6,9.3,56.4,61.1,37.5,96.58,21.2,3408
90,Marcus Morris Sr.,LAC,33,46,25,21,28.9,112.7,114.0,-1.3,9.4,1.98,12.6,1.7,13.9,7.9,6.4,52.9,55.3,19.0,97.24,8.4,2694
90,Naji Marshall,NOP,25,46,24,22,25.2,110.7,110.9,-0.2,14.3,1.95,19.4,2.9,12.2,7.4,10.0,48.8,53.7,17.6,101.95,8.7,2464
90,Shai Gilgeous-Alexander,OKC,24,46,21,25,35.6,115.2,113.0,2.2,25.4,1.90,17.0,2.2,10.6,6.4,9.0,53.5,62.5,31.6,103.24,17.5,3523
90,Usman Garuba,HOU,20,46,12,34,13.9,101.0,112.6,-11.6,10.6,1.41,22.5,10.9,20.5,15.4,16.0,57.5,57.8,9.4,103.44,9.3,1378
107,Aaron Gordon,DEN,27,45,32,13,30.1,123.4,110.9,12.6,11.5,1.61,15.1,9.1,14.6,12.0,9.4,62.3,63.7,21.1,100.52,11.6,2831
107,Aaron Nesmith,IND,23,45,20,25,23.6,113.2,115.9,-2.7,6.6,1.19,10.6,3.2,12.3,7.7,8.9,49.4,54.2,16.9,102.59,5.4,2263
107,Alperen Sengun,HOU,20,45,9,36,28.0,111.1,118.4,-7.3,19.7,1.46,19.4,11.4,20.1,15.7,13.3,58.5,62.2,21.8,100.26,13.8,2653
107,Andrew Nembhard,IND,23,45,21,24,27.1,110.7,115.8,-5.1,20.2,2.26,29.1,1.9,8.5,5.2,12.8,50.8,52.5,14.9,103.09,6.1,2621
107,CJ McCollum,NOP,31,45,23,22,35.1,113.8,112.6,1.2,24.9,2.17,20.5,2.3,10.3,6.3,9.5,51.1,53.7,26.7,100.27,11.4,3301
107,Christian Braun,DEN,21,45,31,14,13.7,107.7,113.6,-5.9,5.7,1.44,13.3,4.7,10.1,7.4,9.2,52.1,53.3,11.7,99.88,5.3,1285
107,Doug McDermott,SAS,31,45,14,31,20.4,110.2,118.9,-8.7,9.3,1.42,12.7,1.4,9.5,5.4,8.9,58.2,59.6,18.3,104.47,7.4,2015
107,Draymond Green,GSW,32,45,25,20,31.6,114.8,109.7,5.2,26.9,2.78,42.9,2.6,18.9,11.1,15.4,56.5,59.0,12.0,104.79,10.1,3095
107,Gary Trent Jr.,TOR,24,45,20,25,33.2,111.9,113.6,-1.7,7.1,1.64,8.3,1.1,6.8,3.7,5.0,53.5,57.4,21.1,99.60,9.4,3118
