54,"Westbrook, Russell",LAL,48,23,25,45.7,42.0,88.9,47.3,12.4,35.4,35.0,18.1,23.2,78.1,10.8,31.7,42.6,24.0,12.3,7.0,5.3,4.6,20.6,18.9,114.6,1.3
72,"Aldama, Santi",MEM,47,29,18,46.3,40.5,86.8,46.7,13.3,35.9,37.1,15.6,20.4,76.7,10.3,31.7,42.0,26.1,14.5,7.3,5.5,4.8,20.9,17.8,110.0,-2.4
72,"Claxton, Nic",BKN,47,28,19,49.1,40.0,90.1,44.4,12.0,32.2,37.2,20.1,26.2,76.8,12.5,32.0,44.4,23.1,14.5,7.4,4.3,8.0,18.5,21.9,112.1,-4.3
72,"Dosunmu, Ayo",CHI,47,23,24,47.1,41.3,87.2,47.4,13.0,35.6,36.5,16.7,22.2,75.2,9.2,34.8,44.0,26.5,13.3,6.8,4.9,4.5,17.1,18.9,112.3,3.8
72,"Griffin, AJ",ATL,47,21,26,46.6,40.4,85.9,47.1,11.6,32.7,35.4,18.8,23.4,80.5,10.2,32.9,43.1,24.7,13.8,7.9,4.6,4.5,17.1,19.2,111.3,0.8
72,"Hart, Josh",POR,47,23,24,48.5,42.0,87.9,47.8,11.4,31.1,36.6,18.5,23.8,78.0,10.5,31.0,41.4,25.9,13.2,7.9,4.7,4.3,21.8,20.1,114.0,-3.4
72,"Jackson, Reggie",LAC,47,25,22,48.9,41.8,89.2,46.9,12.6,34.9,36.1,15.4,20.5,75.1,9.8,32.6,42.4,25.2,12.4,8.4,3.6,4.7,18.6,19.1,111.7,1.6
72,"Johnson, Jalen",ATL,47,23,24,47.1,41.4,87.4,47.4,12.0,32.9,36.6,19.4,24.4,79.3,11.9,33.2,45.1,25.0,14.9,7.1,5.3,4.5,17.9,19.8,114.2,5.7
72,"Markkanen, Lauri",UTA,47,24,23,47.8,42.2,88.5,47.7,10.3,30.6,33.8,18.3,23.5,77.8,10.6,31.8,42.4,22.8,13.5,7.5,4.9,4.3,21.8,20.8,113.0,-5.3
72,"Murray, Keegan",SAC,47,27,20,47.0,42.9,87.4,49.1,11.3,30.7,36.8,16.2,20.5,78.7,9.3,31.8,41.2,25.4,13.6,7.4,4.0,3.2,20.0,18.3,113.3,-3.7
